Τεστ,Φάση,Πέτυχε ✅,Ημερομηνία επίτευξης,Σημειώσεις
"Ισομετρική σύσπαση τετρακέφαλου — κράτηση 10δ. χωρίς πόνο","Φάση 1→2",FALSE,,
"Ανύψωση τεντωμένου ποδιού — 10 επαν. χωρίς καθυστέρηση","Φάση 1→2",FALSE,,
"Κάμψη γόνατος ≥ 90° (μοιρογνωμόνιο ή εφαρμογή)","Φάση 1→2",FALSE,,
"Πλήρης παθητική έκταση ίση με υγιές πόδι","Φάση 1→2",FALSE,,
"Βάδισμα 200μ σε επίπεδο έδαφος χωρίς κουτσαμάρα","Φάση 2→3",FALSE,,
"Ημικάθισμα τοίχου 3×10 / 45° χωρίς πόνο","Φάση 2→3",FALSE,,
"Κάμψη γόνατος ≥ 120° (μοιρογνωμόνιο)","Φάση 2→3",FALSE,,
"SLR χωρίς καθυστέρηση έκτασης — 10 επαναλήψεις","Φάση 2→3",FALSE,,
"Ισορροπία χειρουργηθέντος ποδιού 30δ. με κλειστά μάτια","Φάση 3→4",FALSE,,
"15 ανεβάσεις σκαλοπατιού χωρίς πόνο","Φάση 3→4",FALSE,,
"Πλήρης κάμψη ίση με άλλο πόδι","Φάση 3→4",FALSE,,
"Βάδισμα 500+ μέτρα χωρίς κουτσαμάρα","Φάση 3→4",FALSE,,
"Τρέξιμο 30 λεπτών αδιάκοπα — χωρίς οίδημα 24ω μετά","Φάση 4→5",FALSE,,
"Μονοποδικό άλμα — αθόρυβη & σταθερή προσγείωση","Φάση 4→5",FALSE,,
"Αλλαγές κατεύθυνσης 75% ταχύτητας — εντελώς ανώδυνες","Φάση 4→5",FALSE,,
"Δύναμη τετρακέφαλου ≥ 80% — επιβεβαιωμένη από φυσιοθεραπευτή","Φάση 4→5",FALSE,,
